-118.49119,34.01945,Blue, 1
-86.84656,21.17429,Shark, 1
-79.4163,43.70011,Reef, 1
-79.4163,43.70011,Tiger, 1
4.88969,52.37403,Tiger, 2
-2.35622,49.43331,White, 2
-2.35622,49.43331,Shark, 2
135,-25,Shark, 0
135,-25,Shark, 0
12.51133,41.89193,Shark, 2
4.88969,52.37403,Lemon, 2
-91.6083,30.12907,Reef, 1
153.02809,-27.46794,Shark, 0
-80.41394,37.22957,White, 1
-80.41394,37.22957,White, 1
135,-25,Shark, 0
-80.41394,37.22957,Whale, 1
-7.61138,33.58831,Shark, 2
-80.41394,37.22957,White, 1
-74.45099,40.63788,Shark, 1
-157.85833,21.30694,Tiger, 1
103.8,1.36667,Shark, 3
116.0724,5.9749,Whale, 3
-117.99923,33.6603,Galapagos, 1
-0.12574,51.50853,White, 2
-80.05699,26.6159,Lemon, 1
-79.4163,43.70011,Hammerhead, 1
-79.4163,43.70011,Blue, 1
-4.75,50.41667,Basking, 2
-80.05699,26.6159,Tiger, 1
121.53185,25.04776,White, 3
-80.41394,37.22957,White, 1
-117.99923,33.6603,Lemon, 1
153.43088,-28.00029,Nurse, 0
-79.4163,43.70011,Whale, 1
-117.99923,33.6603,Tiger, 1
-0.12574,51.50853,Reef, 2
149.12807,-35.28346,Nurse, 0
4.88969,52.37403,Reef, 2
-79.4163,43.70011,Blue, 1
-3.70256,40.4165,Whale, 2
-0.32719,51.06395,Shark, 2
135,-25,White, 0
-80.41394,37.22957,White, 1
22,39,Shark, 2
14.43333,35.91667,Shark, 2
-122.41942,37.77493,Tiger, 1
-79.10139,35.5825,Shark, 1
149.12807,-35.28346,Nurse, 0
10.5,51.5,Reef, 2
116.0724,5.9749,Whale, 3
-122.03635,37.36883,Shark, 1
-79.4163,43.70011,Reef, 1
-3.70256,40.4165,White, 2
-84.3642,33.6101,Whale, 1
-80.05699,26.6159,Lemon, 1
-80.41394,37.22957,White, 1
-117.99923,33.6603,White, 1
-117.99923,33.6603,Galapagos, 1
-118.24368,34.05223,Shark, 1
-80.41394,37.22957,White, 1
4.88969,52.37403,Reef, 2
8.30635,47.05048,Whale, 2
151.20732,-33.86785,Nurse, 0
-117.99923,33.6603,Galapagos, 1
-79.4163,43.70011,Nurse, 1
-2.23743,53.48095,Blacktip, 2
-155.99556,19.64056,Reef, 1
4.42222,51.8575,Shark, 2
-119.82764,34.43583,Galapagos, 1
-0.32719,51.06395,Reef, 2
135,-25,Tiger, 0
116.0724,5.9749,White, 3
48.07417,29.31167,Shark, 3
